Evaluasi Vendor 2026,,,,,,,,,
,,,,,,,,,
No,Event,BULAN,Tgl Event,Vendor,Barang / Jasa,Alamat,NILAI,HURUF,REKOMENDASI
,LPS - BUKBER & SILATURAHMI PEGAWAI,Maret 2026,13 Maret 2026,Enigma Intertama,Equipment,Jakarta,89.00,A,Sangat Direkomendasikan
,LPS - BUKBER & SILATURAHMI PEGAWAI,Maret 2026,13 Maret 2026,Dododocs,Documentation,Yogyakarta,81.00,B,Direkomendasikan
,,,,,,,,,
17,TOWNHALL & KICK-OFF MANAGEMENT MEETING PROTELINDO GROUP 2026,Apr-26,7-Apr-26,Phoenix Multimedia,Equipment & Production,Yogyakarta,80.00,B,Direkomendasikan
,TOWNHALL & KICK-OFF MANAGEMENT MEETING PROTELINDO GROUP 2026,Apr-26,7-Apr-26,TBA Event Support,Manpower,Yogyakarta,81.00,B,Direkomendasikan
,TOWNHALL & KICK-OFF MANAGEMENT MEETING PROTELINDO GROUP 2026,Apr-26,7-Apr-26,Asamulti Productions,Equipment,Jakarta,74.00,B,Direkomendasikan
,,,,,,,,,
18,BKMS OUTING 2026,Apr-26,16-19 April 2026,Adi Maman/Taichi,Talent,Yogyakarta,73.00,B,Direkomendasikan
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Arya Catering,F&B,Yogyakarta,85.00,A,Sangat Direkomendasikan
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Balkondes Karanganyar,Venue,Magelang,70.00,B,Direkomendasikan
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Balkondes Ngadiharjo,Venue,Magelang,59.00,C,Perlu Evaluasi
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Balkondes Tuksongo,Venue,Magelang,58.00,C,Perlu Evaluasi
,BKMS OUTING 2026,Apr-26,16-19 April 2026,Balkondes Wanurejo,Venue,Magelang,58.00,C,Perlu Evaluasi
